,Name,Platform,Year,Genre,Publisher,Global_Sales
3676,Tak and the Power of Juju,GBA,2003.0,Platform,THQ,0.55
5574,Def Jam Rapstar,PS3,2010.0,Misc,Konami Digital Entertainment,0.33
1760,Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,Electronic Arts,1.16
2163,My Weight Loss Coach,DS,2008.0,Sports,Ubisoft,0.96
11795,Hero Bank,3DS,2014.0,Role-Playing,Sega,0.07
6674,The Outfit,X360,2006.0,Action,THQ,0.25
5819,LEGO Legends of Chima: Laval's Journey,3DS,2013.0,Adventure,Warner Bros. Interactive Entertainment,0.31
3909,Major League Baseball 2K10,X360,2010.0,Sports,Take-Two Interactive,0.51
11453,Final Fantasy VI,PS,1999.0,Role-Playing,Sony Computer Entertainment,0.08
15172,The Settlers IV,PC,2001.0,Strategy,Blue Byte,0.02
1985,Monster Rancher 2,PS,1998.0,Simulation,Sony Computer Entertainment,1.05
9147,SingStar Vol. 3,PS3,2008.0,Misc,Sony Computer Entertainment,0.14
6321,RalliSport Challenge 2,XB,2004.0,Racing,Microsoft Game Studios,0.27
8672,Backyard Sports: Sandlot Sluggers,Wii,2010.0,Sports,Atari,0.16
5028,Elite Beat Agents,DS,2006.0,Misc,Nintendo,0.38
6329,Sengoku Basara 4,PS3,2014.0,Action,Capcom,0.27
12668,Urban Chaos: Riot Response,PS2,2006.0,Shooter,Eidos Interactive,0.06
12275,My Pet Shop,DS,2008.0,Simulation,Square Enix,0.06
13927,Taikou Risshiden V,PSP,2009.0,Strategy,Tecmo Koei,0.04
6723,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010.0,Platform,D3Publisher,0.25
2873,Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,0.71
9154,Baldur's Gate: Dark Alliance,GC,2002.0,Role-Playing,Virgin Interactive,0.14
866,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,1.96
12313,Gallop Racer 2004,PS2,2004.0,Sports,Zoo Digital Publishing,0.06
694,Tomb Raider II,PC,1997.0,Action,Eidos Interactive,2.29
13533,Monster Trux Arenas: Special Edition,Wii,2007.0,Racing,Popcorn Arcade,0.04
1816,Dragon Age II,X360,2011.0,Action,Electronic Arts,1.12
15458,Ten Pin Alley 2,Wii,2008.0,Sports,XS Games,0.02
5619,The Settlers 7: Paths to a Kingdom,PC,2010.0,Strategy,Ubisoft,0.32
1784,Shadow of the Colossus,PS2,2005.0,Action,Sony Computer Entertainment,1.14
3986,Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.5
8631,LEGO The Lord of the Rings,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.16
11770,Jewel Link Chronicles: Legend of Athena,DS,2011.0,Puzzle,GSP,0.07
3444,Diablo,PS,1997.0,Role-Playing,Electronic Arts,0.58
8976,Travel Games For Dummies,DS,2008.0,Misc,Electronic Arts,0.15
14201,Dead or Alive Xtreme 3: Venus,PSV,2016.0,Sports,Tecmo Koei,0.03
9597,Avatar: The Last Airbender - Into the Inferno,DS,2008.0,Adventure,THQ,0.13
9619,SkullMonkeys,PS,1998.0,Platform,DreamWorks Interactive,0.13
15704,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007.0,Misc,D3Publisher,0.02
14677,Nobunaga no Yabou DS 2,DS,2008.0,Strategy,Tecmo Koei,0.03
13344,Wonder World Amusement Park,Wii,2008.0,Misc,Majesco Entertainment,0.05
9174,Gyakuten Saiban 2,GBA,2002.0,Action,Capcom,0.14
11903,Pitfall: The Lost Expedition,GBA,2003.0,Platform,Activision,0.07
2081,Dead Space 3,X360,2013.0,Action,Electronic Arts,0.99
14670,Warhammer: Mark of Chaos,PC,2006.0,Strategy,Deep Silver,0.03
10238,Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,0.11
13374,Black Mirror 2,PC,2009.0,Adventure,DTP Entertainment,0.05
3022,Star Wars: Republic Commando,XB,2005.0,Shooter,Activision,0.67
11886,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009.0,Strategy,Namco Bandai Games,0.07
9691,Tom Clancy's Splinter Cell Trilogy,PS3,2011.0,Action,Ubisoft,0.12
6012,Ace Combat: Joint Assault,PSP,2010.0,Simulation,Namco Bandai Games,0.29
8544,Angry Birds Trilogy,PS3,2012.0,Action,Activision,0.16
2599,Rayman Origins,X360,2011.0,Platform,Ubisoft,0.79
15541,Legendary,PC,2008.0,Shooter,Atari,0.02
11961,Bionicle Heroes,X360,2006.0,Shooter,Eidos Interactive,0.07
11627,Dragon's Dogma Online,PS4,2015.0,Role-Playing,Capcom,0.08
5563,Karaoke Revolution Presents American Idol Encore 2,Wii,2008.0,Misc,Konami Digital Entertainment,0.33
3028,The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.67
13316,To Heart 2 DX Plus,PS3,2011.0,Adventure,Aqua Plus,0.05
2654,Banjo-Kazooie: Nuts & Bolts,X360,2008.0,Platform,Microsoft Game Studios,0.78
